recv_ns,trade_us,event_us,symbol,price,qty,is_sell
1772524708698659700,1772524711404825,1772524711405370,BTCUSDT,68183.02000000,0.00187000,1
1772524708698701700,1772524711404825,1772524711405371,BTCUSDT,68182.85000000,0.00032000,1
1772524708698743800,1772524711404825,1772524711405372,BTCUSDT,68182.84000000,0.01422000,1
1772524709685149700,1772524712393285,1772524712393553,BTCUSDT,68182.85000000,0.00020000,0
1772524710593928900,1772524713301998,1772524713302383,BTCUSDT,68182.84000000,0.00068000,1
1772524710779337900,1772524713486879,1772524713487209,BTCUSDT,68182.85000000,0.00020000,0
1772524710781272200,1772524713490297,1772524713490560,BTCUSDT,68182.85000000,0.00072000,0
1772524711079163400,1772524713787325,1772524713787595,BTCUSDT,68182.84000000,0.00012000,1
1772524711084392300,1772524713791969,1772524713792312,BTCUSDT,68182.84000000,0.00216000,1
1772524711136666400,1772524713843496,1772524713844158,BTCUSDT,68182.84000000,0.04114000,1
1772524711136797500,1772524713843496,1772524713844163,BTCUSDT,68182.83000000,0.00088000,1
1772524711136850600,1772524713843496,1772524713844164,BTCUSDT,68182.76000000,0.00022000,1
1772524711136898400,1772524713843496,1772524713844165,BTCUSDT,68182.19000000,0.00011000,1
1772524711136943600,1772524713843496,1772524713844167,BTCUSDT,68182.00000000,0.00020000,1
1772524711136987800,1772524713843496,1772524713844168,BTCUSDT,68180.84000000,0.00039000,1
1772524711137031700,1772524713843496,1772524713844172,BTCUSDT,68180.67000000,0.00008000,1
1772524711137074600,1772524713843496,1772524713844178,BTCUSDT,68180.66000000,0.01016000,1
1772524711137118400,1772524713843496,1772524713844179,BTCUSDT,68180.58000000,0.00032000,1
1772524711137166200,1772524713843496,1772524713844180,BTCUSDT,68180.57000000,0.03184000,1
1772524711239315300,1772524713947121,1772524713947450,BTCUSDT,68180.58000000,0.00011000,0
1772524711794472900,1772524714501956,1772524714502239,BTCUSDT,68180.57000000,0.00656000,1
1772524711794726300,1772524714503589,1772524714503853,BTCUSDT,68180.58000000,0.00020000,0
1772524712283332800,1772524714990697,1772524714990974,BTCUSDT,68180.58000000,0.04774000,0
1772524712518143900,1772524715225937,1772524715226242,BTCUSDT,68180.58000000,0.00010000,0
1772524712541619000,1772524715249418,1772524715249693,BTCUSDT,68180.58000000,0.00008000,0
1772524713186748800,1772524715894277,1772524715894749,BTCUSDT,68180.57000000,0.00710000,1
1772524713237335400,1772524715945126,1772524715945443,BTCUSDT,68180.57000000,0.06649000,1
1772524714099079900,1772524716806988,1772524716807599,BTCUSDT,68180.57000000,0.01540000,1
1772524714099170000,1772524716806988,1772524716807604,BTCUSDT,68180.56000000,0.00088000,1
1772524714099213300,1772524716806988,1772524716807605,BTCUSDT,68180.48000000,0.00023000,1
1772524714099256800,1772524716806988,1772524716807607,BTCUSDT,68180.00000000,0.00049000,1
1772524714280918400,1772524716988957,1772524716989246,BTCUSDT,68179.77000000,0.00778000,0
1772524714584506000,1772524717292240,1772524717292515,BTCUSDT,68179.76000000,0.00029000,1
1772524714817669800,1772524717524051,1772524717524688,BTCUSDT,68179.76000000,0.02932000,1
1772524714817808600,1772524717524051,1772524717524694,BTCUSDT,68179.75000000,0.00057000,1
1772524714817886800,1772524717524051,1772524717524695,BTCUSDT,68179.42000000,0.00008000,1
1772524714817960600,1772524717524051,1772524717524696,BTCUSDT,68179.36000000,0.00032000,1
1772524714818059900,1772524717524051,1772524717524697,BTCUSDT,68179.35000000,0.01908000,1
1772524714818198300,1772524717524051,1772524717524698,BTCUSDT,68178.89000000,0.00015000,1
1772524714818272700,1772524717524051,1772524717524700,BTCUSDT,68178.32000000,0.00032000,1
1772524714818325100,1772524717524051,1772524717524701,BTCUSDT,68178.31000000,0.03542000,1
1772524714866357100,1772524717574534,1772524717574843,BTCUSDT,68178.31000000,0.00012000,1
1772524715442092300,1772524718150165,1772524718150439,BTCUSDT,68178.32000000,0.00110000,0
1772524715539193800,1772524718246689,1772524718247087,BTCUSDT,68178.31000000,0.00162000,1
1772524715542686500,1772524718251301,1772524718251573,BTCUSDT,68178.31000000,0.00036000,1
1772524715639028800,1772524718346982,1772524718347381,BTCUSDT,68178.32000000,0.00019000,0
1772524715782100300,1772524718489846,1772524718490111,BTCUSDT,68178.31000000,0.00010000,1
1772524716117486200,1772524718825097,1772524718825369,BTCUSDT,68178.32000000,0.00016000,0
1772524717272464700,1772524719980344,1772524719980874,BTCUSDT,68178.31000000,0.01502000,1
1772524717387147800,1772524720095060,1772524720095345,BTCUSDT,68178.31000000,0.00513000,1
1772524717796138000,1772524720503294,1772524720503679,BTCUSDT,68178.32000000,0.55799000,0
1772524717798168000,1772524720505743,1772524720506231,BTCUSDT,68178.32000000,0.06715000,0
1772524717798296600,1772524720505743,1772524720506236,BTCUSDT,68178.33000000,0.00041000,0
1772524717832454000,1772524720540551,1772524720541016,BTCUSDT,68179.32000000,0.00108000,1
1772524717862556600,1772524720568845,1772524720569147,BTCUSDT,68179.32000000,0.00072000,1
1772524718186375400,1772524720893109,1772524720893470,BTCUSDT,68179.32000000,0.02130000,1
1772524718207907900,1772524720915721,1772524720916400,BTCUSDT,68179.33000000,0.00370000,0
1772524718208006700,1772524720915721,1772524720916404,BTCUSDT,68179.34000000,0.00074000,0
1772524718208047900,1772524720915721,1772524720916405,BTCUSDT,68179.42000000,0.00008000,0
1772524718208086400,1772524720915721,1772524720916407,BTCUSDT,68179.77000000,0.00253000,0
1772524718208123600,1772524720915721,1772524720916408,BTCUSDT,68179.94000000,0.00008000,0
1772524718208223700,1772524720915721,1772524720916408,BTCUSDT,68179.95000000,0.00016000,0
1772524718208267500,1772524720915721,1772524720916410,BTCUSDT,68180.61000000,0.00032000,0
1772524718236807400,1772524720945052,1772524720945575,BTCUSDT,68180.61000000,0.07203000,1
1772524718590893200,1772524721299366,1772524721299612,BTCUSDT,68180.61000000,0.00012000,1
1772524718604819200,1772524721312818,1772524721313113,BTCUSDT,68180.61000000,0.08528000,1
1772524718628632000,1772524721335777,1772524721336301,BTCUSDT,68180.61000000,0.01502000,1
1772524719037988300,1772524721745734,1772524721746045,BTCUSDT,68180.62000000,0.00733000,0
1772524719258085100,1772524721965544,1772524721965814,BTCUSDT,68180.62000000,0.00007000,0
1772524719386844700,1772524722095409,1772524722095730,BTCUSDT,68180.61000000,0.00013000,1
1772524719768770900,1772524722476936,1772524722477246,BTCUSDT,68180.61000000,0.00217000,1
1772524720796114700,1772524723503713,1772524723504017,BTCUSDT,68180.61000000,0.00123000,1
1772524720805921600,1772524723515052,1772524723515386,BTCUSDT,68180.62000000,0.00011000,0
1772524721739456800,1772524724448282,1772524724448558,BTCUSDT,68180.62000000,0.00010000,0
1772524722131478000,1772524724839028,1772524724839399,BTCUSDT,68180.61000000,0.00683000,1
1772524722334938300,1772524725042867,1772524725043151,BTCUSDT,68180.61000000,0.00012000,1
1772524722346580600,1772524725054930,1772524725055207,BTCUSDT,68180.61000000,0.08526000,1
1772524722729932100,1772524725438485,1772524725438758,BTCUSDT,68180.62000000,0.00300000,0
1772524723166875800,1772524725875414,1772524725875676,BTCUSDT,68180.62000000,0.00029000,0
1772524723185629000,1772524725894006,1772524725894510,BTCUSDT,68180.61000000,0.10649000,1
1772524723237827300,1772524725945606,1772524725945958,BTCUSDT,68180.61000000,0.06142000,1
1772524723270552400,1772524725978767,1772524725979174,BTCUSDT,68180.62000000,0.00291000,0
1772524723929023400,1772524726637061,1772524726637431,BTCUSDT,68180.61000000,0.00019000,1
1772524723945305200,1772524726652812,1772524726653219,BTCUSDT,68180.62000000,0.00014000,0
1772524724135411000,1772524726839349,1772524726839631,BTCUSDT,68180.61000000,0.00401000,1
1772524724895196500,1772524727600388,1772524727600808,BTCUSDT,68180.62000000,0.00057000,0
1772524724999015900,1772524727706909,1772524727707228,BTCUSDT,68180.61000000,0.01813000,1
1772524725483849000,1772524728191397,1772524728191720,BTCUSDT,68180.62000000,0.00012000,0
1772524725515298000,1772524728223515,1772524728223788,BTCUSDT,68180.62000000,0.00019000,0
1772524726085562600,1772524728794567,1772524728794860,BTCUSDT,68180.61000000,0.00012000,1
1772524726098122500,1772524728806311,1772524728806597,BTCUSDT,68180.61000000,0.08526000,1
1772524726237633100,1772524728946198,1772524728946474,BTCUSDT,68180.62000000,0.00032000,0
1772524726361731800,1772524729069467,1772524729069735,BTCUSDT,68180.62000000,0.00012000,0
1772524727249566600,1772524729958157,1772524729958596,BTCUSDT,68180.62000000,0.04794000,0
1772524727608739000,1772524730317400,1772524730317663,BTCUSDT,68180.61000000,0.00512000,1
1772524727712955800,1772524730421575,1772524730421841,BTCUSDT,68180.61000000,0.00108000,1
