recv_ns,trade_us,event_us,symbol,price,qty,is_sell
1772542875845846000,1772542876018338,1772542876018977,BTCUSDT,67327.72000000,0.00040000,1
1772542875845978900,1772542876018338,1772542876018978,BTCUSDT,67327.22000000,0.00008000,1
1772542875846168700,1772542876020074,1772542876020735,BTCUSDT,67327.21000000,0.00032000,1
1772542875846306300,1772542876020074,1772542876020739,BTCUSDT,67327.20000000,0.00075000,1
1772542875846404900,1772542876020074,1772542876020740,BTCUSDT,67326.51000000,0.00008000,1
1772542875864652900,1772542876039511,1772542876040219,BTCUSDT,67326.50000000,0.00222000,1
1772542875864705000,1772542876039511,1772542876040223,BTCUSDT,67326.49000000,0.00048000,1
1772542875864739300,1772542876039511,1772542876040225,BTCUSDT,67326.46000000,0.00008000,1
1772542875864769000,1772542876039511,1772542876040225,BTCUSDT,67326.45000000,0.00024000,1
1772542875864798200,1772542876039511,1772542876040226,BTCUSDT,67326.44000000,0.00025000,1
1772542875864829600,1772542876039511,1772542876040227,BTCUSDT,67326.43000000,0.00104000,1
1772542875936787400,1772542876112454,1772542876112915,BTCUSDT,67326.43000000,0.00011000,1
1772542876009852700,1772542876184783,1772542876185334,BTCUSDT,67326.43000000,0.00371000,1
1772542876010017400,1772542876184783,1772542876185338,BTCUSDT,67326.42000000,0.00059000,1
1772542876010126800,1772542876184783,1772542876185339,BTCUSDT,67326.29000000,0.00016000,1
1772542876010217200,1772542876184783,1772542876185340,BTCUSDT,67326.22000000,0.00032000,1
1772542876010867800,1772542876186143,1772542876186581,BTCUSDT,67326.00000000,0.00087000,1
1772542876010956000,1772542876186143,1772542876186585,BTCUSDT,67325.58000000,0.00024000,1
1772542876012118800,1772542876186975,1772542876187484,BTCUSDT,67325.51000000,0.00040000,1
1772542876012188800,1772542876186975,1772542876187488,BTCUSDT,67325.17000000,0.00297000,1
1772542876113326200,1772542876287908,1772542876288362,BTCUSDT,67324.78000000,0.00176000,1
1772542876113482600,1772542876287908,1772542876288367,BTCUSDT,67324.77000000,0.00008000,1
1772542876114952100,1772542876289529,1772542876289992,BTCUSDT,67324.77000000,0.00016000,1
1772542876115119300,1772542876289529,1772542876289996,BTCUSDT,67324.53000000,0.00016000,1
1772542876115252100,1772542876289529,1772542876289997,BTCUSDT,67324.38000000,0.00024000,1
1772542876115376200,1772542876289529,1772542876289998,BTCUSDT,67324.14000000,0.00016000,1
1772542876115500700,1772542876289529,1772542876289998,BTCUSDT,67324.04000000,0.00032000,1
1772542876126464800,1772542876299951,1772542876300653,BTCUSDT,67324.00000000,0.00186000,1
1772542876126610500,1772542876299951,1772542876300657,BTCUSDT,67323.99000000,0.00008000,1
1772542876126733800,1772542876299951,1772542876300658,BTCUSDT,67323.96000000,0.00016000,1
1772542876126841300,1772542876299951,1772542876300659,BTCUSDT,67323.90000000,0.00016000,1
1772542876126963600,1772542876299951,1772542876300660,BTCUSDT,67323.76000000,0.00016000,1
1772542876127057500,1772542876299951,1772542876300660,BTCUSDT,67323.71000000,0.00016000,1
1772542876127145300,1772542876299951,1772542876300661,BTCUSDT,67323.52000000,0.00025000,1
1772542876127233400,1772542876299951,1772542876300661,BTCUSDT,67323.47000000,0.00016000,1
1772542876127322700,1772542876299951,1772542876300662,BTCUSDT,67323.46000000,0.00016000,1
1772542876127411800,1772542876299951,1772542876300662,BTCUSDT,67323.13000000,0.00016000,1
1772542876127486300,1772542876299951,1772542876300663,BTCUSDT,67323.01000000,0.00269000,1
1772542876127557200,1772542876299951,1772542876300664,BTCUSDT,67322.84000000,0.00048000,1
1772542876127630800,1772542876299951,1772542876300664,BTCUSDT,67322.56000000,0.00016000,1
1772542876127701800,1772542876299951,1772542876300665,BTCUSDT,67322.55000000,0.01565000,1
1772542876127775100,1772542876299951,1772542876300665,BTCUSDT,67322.34000000,0.00016000,1
1772542876127847500,1772542876299951,1772542876300667,BTCUSDT,67322.08000000,0.00016000,1
1772542876127906400,1772542876299951,1772542876300667,BTCUSDT,67322.00000000,0.00060000,1
1772542876127963100,1772542876299951,1772542876300668,BTCUSDT,67321.89000000,0.00032000,1
1772542876647905500,1772542876823232,1772542876823523,BTCUSDT,67321.88000000,0.00045000,1
1772542877281416300,1772542877454707,1772542877455095,BTCUSDT,67321.89000000,0.00298000,0
1772542877443782900,1772542877616284,1772542877616614,BTCUSDT,67321.89000000,0.00010000,0
1772542877878872300,1772542878054108,1772542878054825,BTCUSDT,67321.89000000,0.00840000,0
1772542877879005200,1772542878054108,1772542878054829,BTCUSDT,67321.90000000,0.00065000,0
1772542877879079300,1772542878054108,1772542878054830,BTCUSDT,67322.34000000,0.00016000,0
1772542877879148500,1772542878054108,1772542878054831,BTCUSDT,67322.55000000,0.00056000,0
1772542877879215000,1772542878054108,1772542878054832,BTCUSDT,67322.56000000,0.00016000,0
1772542877879284600,1772542878054108,1772542878054832,BTCUSDT,67322.84000000,0.00016000,0
1772542877879350900,1772542878054108,1772542878054833,BTCUSDT,67322.95000000,0.00008000,0
1772542877879401100,1772542878054108,1772542878054836,BTCUSDT,67323.97000000,0.00016000,0
1772542877879449200,1772542878054108,1772542878054836,BTCUSDT,67324.01000000,0.00016000,0
1772542877879507600,1772542878054108,1772542878054837,BTCUSDT,67324.38000000,0.00040000,0
1772542877879561000,1772542878054108,1772542878054839,BTCUSDT,67324.76000000,0.00016000,0
1772542877920775600,1772542878095005,1772542878095424,BTCUSDT,67324.77000000,0.00074000,0
1772542877940822600,1772542878115850,1772542878116481,BTCUSDT,67324.77000000,0.00369000,0
1772542877940907600,1772542878115850,1772542878116485,BTCUSDT,67324.78000000,0.00065000,0
1772542877940964900,1772542878115850,1772542878116486,BTCUSDT,67326.02000000,0.00008000,0
1772542877941017600,1772542878115850,1772542878116486,BTCUSDT,67326.03000000,0.00049000,0
1772542877941069700,1772542878115850,1772542878116487,BTCUSDT,67326.04000000,0.00032000,0
1772542877941120100,1772542878115850,1772542878116488,BTCUSDT,67326.61000000,0.00316000,0
1772542877941169500,1772542878115850,1772542878116488,BTCUSDT,67327.41000000,0.00016000,0
1772542877941218900,1772542878115850,1772542878116489,BTCUSDT,67327.72000000,0.00024000,0
1772542877941269100,1772542878115850,1772542878116490,BTCUSDT,67328.00000000,0.00032000,0
1772542878679963300,1772542878854944,1772542878855281,BTCUSDT,67328.00000000,0.03716000,1
1772542879051469400,1772542879225390,1772542879226332,BTCUSDT,67328.00000000,0.00412000,1
1772542879051528700,1772542879225390,1772542879226338,BTCUSDT,67327.99000000,0.00059000,1
1772542879051563200,1772542879225390,1772542879226339,BTCUSDT,67327.91000000,0.00043000,1
1772542879051595100,1772542879225390,1772542879226340,BTCUSDT,67327.72000000,0.00024000,1
1772542879051626300,1772542879225390,1772542879226341,BTCUSDT,67327.20000000,0.00016000,1
1772542879051659200,1772542879225390,1772542879226342,BTCUSDT,67326.68000000,0.00016000,1
1772542879051689800,1772542879225390,1772542879226342,BTCUSDT,67326.22000000,0.00016000,1
1772542879051721900,1772542879225390,1772542879226343,BTCUSDT,67326.02000000,0.00032000,1
1772542879051752900,1772542879225390,1772542879226344,BTCUSDT,67325.73000000,0.00008000,1
1772542879051783500,1772542879225390,1772542879226344,BTCUSDT,67325.72000000,0.00016000,1
1772542879051814500,1772542879225390,1772542879226345,BTCUSDT,67325.58000000,0.00016000,1
1772542879051845000,1772542879225390,1772542879226346,BTCUSDT,67324.77000000,0.00056000,1
1772542879051876000,1772542879225390,1772542879226346,BTCUSDT,67324.76000000,0.00112000,1
1772542879051906700,1772542879225390,1772542879226347,BTCUSDT,67324.75000000,0.00016000,1
1772542879051937400,1772542879225390,1772542879226348,BTCUSDT,67324.38000000,0.00024000,1
1772542879051969000,1772542879225390,1772542879226348,BTCUSDT,67323.96000000,0.00057000,1
1772542879051999700,1772542879225390,1772542879226349,BTCUSDT,67323.67000000,0.00037000,1
1772542879052029900,1772542879225390,1772542879226350,BTCUSDT,67323.28000000,0.00300000,1
1772542879052060400,1772542879225390,1772542879226351,BTCUSDT,67322.84000000,0.00016000,1
1772542879052090400,1772542879225390,1772542879226352,BTCUSDT,67322.34000000,0.00032000,1
1772542879052122000,1772542879225390,1772542879226352,BTCUSDT,67322.12000000,0.00048000,1
1772542879052153400,1772542879225390,1772542879226353,BTCUSDT,67322.08000000,0.00008000,1
1772542879052185000,1772542879225390,1772542879226354,BTCUSDT,67321.91000000,0.00008000,1
1772542879052220800,1772542879225390,1772542879226354,BTCUSDT,67321.90000000,0.00008000,1
1772542879052253800,1772542879225390,1772542879226355,BTCUSDT,67321.89000000,0.00016000,1
1772542879052292200,1772542879225390,1772542879226356,BTCUSDT,67321.88000000,0.00852000,1
1772542879063024300,1772542879236781,1772542879237161,BTCUSDT,67321.89000000,0.00032000,0
1772542879091461600,1772542879265844,1772542879266551,BTCUSDT,67321.88000000,0.01291000,1
1772542879091556300,1772542879265844,1772542879266555,BTCUSDT,67321.87000000,0.00092000,1
1772542879091613700,1772542879265844,1772542879266556,BTCUSDT,67321.86000000,0.00027000,1
1772542879091674800,1772542879265844,1772542879266557,BTCUSDT,67321.85000000,0.00009000,1
1772542879091726700,1772542879265844,1772542879266557,BTCUSDT,67321.84000000,0.00051000,1
1772542879091773300,1772542879265844,1772542879266558,BTCUSDT,67321.56000000,0.00008000,1
1772542879091819400,1772542879265844,1772542879266558,BTCUSDT,67321.55000000,0.00032000,1
1772542879091866300,1772542879265844,1772542879266559,BTCUSDT,67321.15000000,0.00016000,1
1772542879091912200,1772542879265844,1772542879266559,BTCUSDT,67321.04000000,0.00024000,1
1772542879091957600,1772542879265844,1772542879266560,BTCUSDT,67320.94000000,0.00016000,1
1772542879092003400,1772542879265844,1772542879266560,BTCUSDT,67320.72000000,0.00016000,1
1772542879092048700,1772542879265844,1772542879266561,BTCUSDT,67320.60000000,0.00025000,1
1772542879092094000,1772542879265844,1772542879266562,BTCUSDT,67320.00000000,0.00076000,1
1772542879092137200,1772542879265844,1772542879266562,BTCUSDT,67319.60000000,0.00016000,1
1772542879092174000,1772542879265844,1772542879266563,BTCUSDT,67319.46000000,0.00016000,1
1772542879092211500,1772542879265844,1772542879266563,BTCUSDT,67319.10000000,0.00016000,1
1772542879092248100,1772542879265844,1772542879266564,BTCUSDT,67318.71000000,0.00355000,1
1772542879092354300,1772542879265844,1772542879266565,BTCUSDT,67318.25000000,0.00024000,1
1772542879092399400,1772542879265844,1772542879266566,BTCUSDT,67318.04000000,0.00016000,1
1772542879092440400,1772542879265844,1772542879266566,BTCUSDT,67318.02000000,0.00032000,1
1772542879407098600,1772542879581307,1772542879581571,BTCUSDT,67318.02000000,0.00045000,0
1772542879511111100,1772542879684767,1772542879685076,BTCUSDT,67318.02000000,0.00029000,0
1772542879777826600,1772542879953549,1772542879953877,BTCUSDT,67318.02000000,0.03476000,0
1772542879780354600,1772542879955817,1772542879956337,BTCUSDT,67318.02000000,0.04602000,0
1772542880098532400,1772542880273404,1772542880273946,BTCUSDT,67318.01000000,0.00520000,1
1772542880368667000,1772542880544270,1772542880544533,BTCUSDT,67318.02000000,0.00026000,0
1772542880783611200,1772542880959456,1772542880959794,BTCUSDT,67318.01000000,0.00148000,1
1772542881117392400,1772542881292386,1772542881292727,BTCUSDT,67318.02000000,0.00385000,0
1772542881398607300,1772542881573895,1772542881574223,BTCUSDT,67318.02000000,0.00014000,0
1772542881518655100,1772542881694131,1772542881694850,BTCUSDT,67318.02000000,0.00646000,0
1772542881518835800,1772542881694131,1772542881694854,BTCUSDT,67318.03000000,0.00049000,0
1772542881518963300,1772542881694131,1772542881694855,BTCUSDT,67318.04000000,0.00032000,0
1772542881519134300,1772542881694131,1772542881694856,BTCUSDT,67318.05000000,0.04335000,0
1772542881519691700,1772542881695300,1772542881695800,BTCUSDT,67318.05000000,0.00706000,0
1772542881519821600,1772542881695300,1772542881695804,BTCUSDT,67318.09000000,0.00032000,0
1772542881519957400,1772542881695300,1772542881695806,BTCUSDT,67318.10000000,0.05016000,0
1772542881523761900,1772542881698119,1772542881698959,BTCUSDT,67318.20000000,0.00088000,0
1772542881575250400,1772542881750228,1772542881750783,BTCUSDT,67319.46000000,0.00303000,0
1772542881575402400,1772542881750228,1772542881750787,BTCUSDT,67319.47000000,0.00032000,0
1772542881575487400,1772542881750228,1772542881750788,BTCUSDT,67320.01000000,0.00016000,0
1772542881575566900,1772542881750228,1772542881750790,BTCUSDT,67320.31000000,0.00008000,0
1772542881575642200,1772542881750228,1772542881750791,BTCUSDT,67320.72000000,0.00016000,0
1772542881575717600,1772542881750228,1772542881750792,BTCUSDT,67321.04000000,0.00065000,0
1772542881575792800,1772542881750228,1772542881750793,BTCUSDT,67321.09000000,0.00016000,0
1772542881627153000,1772542881801769,1772542881802407,BTCUSDT,67321.10000000,0.00258000,0
1772542881627251600,1772542881801769,1772542881802413,BTCUSDT,67321.11000000,0.00016000,0
1772542881627319000,1772542881801769,1772542881802413,BTCUSDT,67321.15000000,0.00016000,0
1772542881627381100,1772542881801769,1772542881802414,BTCUSDT,67321.59000000,0.00008000,0
