recorded_at,wallet,wallet_label,coin,market_type,slug,side,size_usd,price,trade_timestamp,seconds_into_market,gap_at_time,gap_seconds_diff,both_sides_flag
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,DOWN,22.44,0.44,1772442413,113,-0.05,12.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,DOWN,21.93,0.43,1772442413,113,-0.05,12.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,DOWN,21.42,0.42,1772442413,113,-0.05,12.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,DOWN,20.91,0.41,1772442413,113,-0.05,12.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,2.65,0.53,1772442411,111,-0.05,14.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,5.121378,0.5300000196626774,1772442411,111,-0.05,14.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,2.12,0.53,1772442411,111,-0.05,14.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,5.3,0.53,1772442411,111,-0.05,14.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,2.255319,0.5300001081000292,1772442411,111,-0.05,14.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,eth,15m,eth-updown-15m-1772442000,UP,1.353191,0.5300001175000686,1772442409,409,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,27.03,0.53,1772442409,109,-0.05,16.0,True
