recorded_at,wallet,wallet_label,coin,market_type,slug,side,size_usd,price,trade_timestamp,gap_at_time,gap_seconds_diff,both_sides_flag
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.085938,0.01,1772376883,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.010101,0.01,1772376883,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,sol,5m,sol-updown-5m-1772376600,UP,0.1798,0.01,1772376881,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.05,0.01,1772376881,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.45,0.01,1772376881,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,sol,15m,sol-updown-15m-1772376300,UP,17.28,0.72,1772376881,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.4007,0.01,1772376879,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,sol,5m,sol-updown-5m-1772376600,UP,0.05,0.01,1772376879,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,eth,5m,eth-updown-5m-1772376600,UP,7.65,0.15,1772376879,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,sol,5m,sol-updown-5m-1772376600,UP,1.68,0.02,1772376879,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,eth,5m,eth-updown-5m-1772376600,UP,5.28,0.16,1772376879,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,15m,btc-updown-15m-1772376300,UP,17.819998,0.649999989057238,1772376879,,,True
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,15m,btc-updown-15m-1772376300,UP,11.8706,0.61,1772376879,,,True
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.002801,0.01,1772376877,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.1,0.01,1772376877,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.8065,0.01,1772376877,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.020202,0.01,1772376877,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,25.151,0.42956447480785653,1772376921,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,27.1892,0.45989851150202976,1772376917,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,150.9472,0.43,1772376915,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,186.468,0.4542239111370944,1772376915,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,5.9556,0.42,1772376913,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,5.431034,0.42000001082666794,1772376913,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,5.439,0.42,1772376913,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,165.06,0.42,1772376913,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,5.431034,0.42000001082666794,1772376913,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,6.3,0.42,1772376913,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,58.3758,0.42,1772376913,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,3.6,0.6,1772376889,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,221.76,0.56,1772376887,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,9.52,0.56,1772376887,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,28.0,0.56,1772376887,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,17.951563,0.5600000087346156,1772376887,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,58.7664,0.56,1772376887,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,44.659999,0.5699234299049423,1772376885,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,15m,btc-updown-15m-1772376300,UP,53.027,0.65,1772376879,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,sol,15m,sol-updown-15m-1772376300,UP,39.2821,0.67,1772376871,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,sol,15m,sol-updown-15m-1772376300,UP,17.329,0.62,1772376869,,,False
2026-03-01T14:55:28.090179+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,eth,15m,eth-updown-15m-1772376300,UP,74.5021,0.53,1772376867,,,False
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,0.999999,0.339999829999915,1772376927,-0.98,4,False
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,3.6958,0.34,1772376927,-0.98,4,False
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,3.1348,0.34,1772376927,-0.98,4,False
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,32.64,0.64,1772376925,-0.98,6,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,32.13,0.63,1772376925,-0.98,6,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,18.36,0.36,1772376923,-0.98,8,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,17.34,0.34,1772376919,-0.98,12,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,1.346153,0.35000003900002885,1772376917,-0.98,14,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,0.807692,0.35000006500003683,1772376917,-0.98,14,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,5.37923,0.35000001301301537,1772376917,-0.98,14,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,1.346153,0.35000003900002885,1772376917,-0.98,14,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,3.155384,0.3500000332764602,1772376917,-0.98,14,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,5.81,0.35,1772376917,-0.98,14,True
