recorded_at,coin,market_type,slug,market_closes,seconds_left,yes_price,no_price,gap,opportunity
2026-03-01T12:35:55.143632+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,544,0.13,0.875,-0.005,False
2026-03-01T12:36:11.194518+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,228,0.695,0.305,0.0,False
2026-03-01T12:36:11.194518+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,528,0.22,0.755,0.025,False
2026-03-01T12:36:11.194518+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,228,0.815,0.165,0.02,False
2026-03-01T12:36:11.194518+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,528,0.44,0.565,-0.005,False
2026-03-01T12:36:11.194518+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,228,0.905,0.08,0.015,False
2026-03-01T12:36:11.194518+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,528,0.245,0.755,0.0,False
2026-03-01T12:36:27.294640+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,212,0.725,0.295,-0.02,False
2026-03-01T12:36:27.294640+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,512,0.195,0.805,-0.0,False
2026-03-01T12:36:27.294640+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,212,0.775,0.225,-0.0,False
2026-03-01T12:36:27.294640+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,512,0.375,0.625,0.0,False
2026-03-01T12:36:27.294640+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,212,0.875,0.125,0.0,False
2026-03-01T12:36:27.294640+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,512,0.195,0.805,-0.0,False
2026-03-01T12:36:43.253602+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,196,0.675,0.325,-0.0,False
2026-03-01T12:36:43.253602+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,496,0.175,0.825,0.0,False
2026-03-01T12:36:43.253602+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,196,0.815,0.185,0.0,False
2026-03-01T12:36:43.253602+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,496,0.395,0.605,0.0,False
2026-03-01T12:36:43.253602+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,196,0.955,0.045,0.0,False
2026-03-01T12:36:43.253602+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,496,0.265,0.765,-0.03,False
2026-03-01T12:36:58.940920+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,181,0.58,0.42,0.0,False
2026-03-01T12:36:58.940920+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,481,0.125,0.885,-0.01,False
2026-03-01T12:36:58.940920+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,181,0.695,0.305,0.0,False
2026-03-01T12:36:58.940920+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,481,0.305,0.695,0.0,False
2026-03-01T12:36:58.940920+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,181,0.885,0.115,-0.0,False
2026-03-01T12:36:58.940920+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,481,0.155,0.845,0.0,False
2026-03-01T12:37:15.378200+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,164,0.515,0.515,-0.03,False
2026-03-01T12:37:15.378200+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,464,0.15,0.845,0.005,False
2026-03-01T12:37:15.378200+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,164,0.845,0.155,0.0,False
2026-03-01T12:37:15.378200+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,464,0.395,0.605,0.0,False
2026-03-01T12:37:15.378200+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,164,0.965,0.035,0.0,False
2026-03-01T12:37:15.378200+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,464,0.245,0.755,0.0,False
2026-03-01T12:37:31.114504+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,148,0.495,0.54,-0.035,False
2026-03-01T12:37:31.114504+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,448,0.085,0.915,0.0,False
2026-03-01T12:37:31.114504+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,148,0.585,0.435,-0.02,False
2026-03-01T12:37:31.114504+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,448,0.225,0.78,-0.005,False
2026-03-01T12:37:31.114504+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,148,0.775,0.265,-0.04,False
2026-03-01T12:37:31.114504+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,448,0.095,0.905,0.0,False
2026-03-01T12:37:47.114565+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,132,0.255,0.735,0.01,False
2026-03-01T12:37:47.114565+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,432,0.115,0.895,-0.01,False
2026-03-01T12:37:47.114565+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,132,0.735,0.265,0.0,False
2026-03-01T12:37:47.114565+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,432,0.295,0.715,-0.01,False
2026-03-01T12:37:47.114565+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,132,0.835,0.165,0.0,False
2026-03-01T12:37:47.114565+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,432,0.105,0.91,-0.015,False
2026-03-01T12:38:03.341710+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,116,0.38,0.605,0.015,False
2026-03-01T12:38:03.341710+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,416,0.115,0.885,0.0,False
2026-03-01T12:38:03.341710+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,116,0.855,0.145,0.0,False
2026-03-01T12:38:03.341710+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,416,0.365,0.635,0.0,False
2026-03-01T12:38:03.341710+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,116,0.965,0.035,0.0,False
2026-03-01T12:38:03.341710+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,416,0.245,0.755,0.0,False
2026-03-01T12:38:19.351822+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,100,0.63,0.315,0.055,False
2026-03-01T12:38:19.351822+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,400,0.145,0.865,-0.01,False
2026-03-01T12:38:19.351822+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,100,0.945,0.055,0.0,False
2026-03-01T12:38:19.351822+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,400,0.425,0.575,0.0,False
2026-03-01T12:38:19.351822+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,100,0.975,0.025,0.0,False
2026-03-01T12:38:19.351822+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,400,0.325,0.685,-0.01,False
2026-03-01T12:38:36.334969+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,83,0.875,0.125,0.0,False
2026-03-01T12:38:36.334969+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,383,0.215,0.785,0.0,False
2026-03-01T12:38:36.334969+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,83,0.965,0.035,0.0,False
2026-03-01T12:38:36.334969+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,383,0.485,0.515,0.0,False
2026-03-01T12:38:36.334969+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,83,0.985,0.015,0.0,False
2026-03-01T12:38:36.334969+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,383,0.345,0.67,-0.015,False
2026-03-01T12:38:52.681031+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,67,0.745,0.245,0.01,False
2026-03-01T12:38:52.681031+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,367,0.155,0.845,0.0,False
2026-03-01T12:38:52.681031+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,67,0.955,0.035,0.01,False
2026-03-01T12:38:52.681031+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,367,0.385,0.615,0.0,False
2026-03-01T12:38:52.681031+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,67,0.995,0.005,0.0,False
2026-03-01T12:38:52.681031+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,367,0.27,0.73,0.0,False
2026-03-01T12:39:08.624065+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,51,0.895,0.075,0.03,False
2026-03-01T12:39:08.624065+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,351,0.185,0.815,0.0,False
2026-03-01T12:39:08.624065+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,51,0.995,0.005,0.0,False
2026-03-01T12:39:08.624065+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,351,0.475,0.525,0.0,False
2026-03-01T12:39:08.624065+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,51,0.995,0.005,0.0,False
2026-03-01T12:39:08.624065+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,351,0.35,0.625,0.025,False
2026-03-01T12:39:24.693848+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,35,0.975,0.025,0.0,False
2026-03-01T12:39:24.693848+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,335,0.165,0.835,0.0,False
2026-03-01T12:39:24.693848+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,35,0.995,0.005,0.0,False
2026-03-01T12:39:24.693848+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,335,0.435,0.565,0.0,False
2026-03-01T12:39:24.693848+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,35,0.995,0.005,0.0,False
2026-03-01T12:39:24.693848+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,335,0.365,0.635,0.0,False
2026-03-01T12:39:40.512798+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,19,0.985,0.015,0.0,False
2026-03-01T12:39:40.512798+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,319,0.185,0.815,0.0,False
2026-03-01T12:39:40.512798+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,19,0.995,0.005,0.0,False
2026-03-01T12:39:40.512798+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,319,0.445,0.555,-0.0,False
2026-03-01T12:39:40.512798+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,19,0.995,0.005,0.0,False
2026-03-01T12:39:40.512798+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,319,0.35,0.645,0.005,False
2026-03-01T12:39:56.868525+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,3,0.995,0.005,0.0,False
2026-03-01T12:39:56.868525+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,303,0.155,0.845,0.0,False
2026-03-01T12:39:56.868525+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,3,0.995,0.005,0.0,False
2026-03-01T12:39:56.868525+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,303,0.415,0.585,0.0,False
2026-03-01T12:39:56.868525+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,3,0.995,0.005,0.0,False
2026-03-01T12:39:56.868525+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,303,0.335,0.645,0.02,False
2026-03-01T12:40:14.001261+00:00,btc,5m,btc-updown-5m-1772368800,2026-03-01T12:45:00+00:00,285,0.615,0.375,0.01,False
2026-03-01T12:40:14.001261+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,285,0.225,0.765,0.01,False
2026-03-01T12:40:14.001261+00:00,eth,5m,eth-updown-5m-1772368800,2026-03-01T12:45:00+00:00,285,0.57,0.405,0.025,False
2026-03-01T12:40:14.001261+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,285,0.545,0.455,-0.0,False
2026-03-01T12:40:14.001261+00:00,sol,5m,sol-updown-5m-1772368800,2026-03-01T12:45:00+00:00,285,0.525,0.465,0.01,False
2026-03-01T12:40:14.001261+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,285,0.39,0.61,0.0,False
2026-03-01T12:40:29.956914+00:00,btc,5m,btc-updown-5m-1772368800,2026-03-01T12:45:00+00:00,270,0.645,0.355,0.0,False
2026-03-01T12:40:29.956914+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,270,0.225,0.775,0.0,False
2026-03-01T12:40:29.956914+00:00,eth,5m,eth-updown-5m-1772368800,2026-03-01T12:45:00+00:00,270,0.525,0.485,-0.01,False
2026-03-01T12:40:29.956914+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,270,0.455,0.55,-0.005,False
2026-03-01T12:40:29.956914+00:00,sol,5m,sol-updown-5m-1772368800,2026-03-01T12:45:00+00:00,270,0.455,0.545,-0.0,False
2026-03-01T12:40:29.956914+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,270,0.315,0.685,0.0,False
2026-03-01T12:40:46.024288+00:00,btc,5m,btc-updown-5m-1772368800,2026-03-01T12:45:00+00:00,253,0.575,0.425,0.0,False
2026-03-01T12:40:46.024288+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,253,0.165,0.835,0.0,False
2026-03-01T12:40:46.024288+00:00,eth,5m,eth-updown-5m-1772368800,2026-03-01T12:45:00+00:00,253,0.49,0.505,0.005,False
2026-03-01T12:40:46.024288+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,253,0.445,0.55,0.005,False
2026-03-01T12:40:46.024288+00:00,sol,5m,sol-updown-5m-1772368800,2026-03-01T12:45:00+00:00,253,0.445,0.55,0.005,False
2026-03-01T12:40:46.024288+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,253,0.29,0.71,0.0,False
2026-03-01T12:41:02.064176+00:00,btc,5m,btc-updown-5m-1772368800,2026-03-01T12:45:00+00:00,237,0.635,0.365,0.0,False
2026-03-01T12:41:02.064176+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,237,0.195,0.805,-0.0,False
2026-03-01T12:41:02.064176+00:00,eth,5m,eth-updown-5m-1772368800,2026-03-01T12:45:00+00:00,237,0.545,0.455,-0.0,False
2026-03-01T12:41:02.064176+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,237,0.505,0.495,0.0,False
2026-03-01T12:41:02.064176+00:00,sol,5m,sol-updown-5m-1772368800,2026-03-01T12:45:00+00:00,237,0.435,0.565,0.0,False
2026-03-01T12:41:02.064176+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,237,0.245,0.755,0.0,False
2026-03-01T12:41:19.168667+00:00,btc,5m,btc-updown-5m-1772368800,2026-03-01T12:45:00+00:00,220,0.725,0.275,0.0,False
2026-03-01T12:41:19.168667+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,220,0.275,0.725,0.0,False
2026-03-01T12:41:19.168667+00:00,eth,5m,eth-updown-5m-1772368800,2026-03-01T12:45:00+00:00,220,0.655,0.345,0.0,False
2026-03-01T12:41:19.168667+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,220,0.625,0.375,0.0,False
2026-03-01T12:41:19.168667+00:00,sol,5m,sol-updown-5m-1772368800,2026-03-01T12:45:00+00:00,220,0.535,0.465,-0.0,False
2026-03-01T12:41:19.168667+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,220,0.365,0.625,0.01,False
2026-03-01T12:41:35.130662+00:00,btc,5m,btc-updown-5m-1772368800,2026-03-01T12:45:00+00:00,204,0.66,0.345,-0.005,False
2026-03-01T12:41:35.130662+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,204,0.175,0.825,0.0,False
2026-03-01T12:41:35.130662+00:00,eth,5m,eth-updown-5m-1772368800,2026-03-01T12:45:00+00:00,204,0.545,0.455,-0.0,False
2026-03-01T12:41:35.130662+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,204,0.495,0.505,0.0,False
2026-03-01T12:41:35.130662+00:00,sol,5m,sol-updown-5m-1772368800,2026-03-01T12:45:00+00:00,204,0.515,0.47,0.015,False
2026-03-01T12:41:35.130662+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,204,0.35,0.645,0.005,False
2026-03-01T12:41:51.036797+00:00,btc,5m,btc-updown-5m-1772368800,2026-03-01T12:45:00+00:00,188,0.775,0.225,-0.0,False
2026-03-01T12:41:51.036797+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,188,0.255,0.745,0.0,False
2026-03-01T12:41:51.036797+00:00,eth,5m,eth-updown-5m-1772368800,2026-03-01T12:45:00+00:00,188,0.62,0.38,0.0,False
2026-03-01T12:41:51.036797+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,188,0.58,0.395,0.025,False
2026-03-01T12:41:51.036797+00:00,sol,5m,sol-updown-5m-1772368800,2026-03-01T12:45:00+00:00,188,0.59,0.425,-0.015,False
2026-03-01T12:41:51.036797+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,188,0.435,0.565,0.0,False
2026-03-01T12:42:07.543242+00:00,btc,5m,btc-updown-5m-1772368800,2026-03-01T12:45:00+00:00,172,0.795,0.205,-0.0,False
2026-03-01T12:42:07.543242+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,172,0.265,0.7,0.035,False
2026-03-01T12:42:07.543242+00:00,eth,5m,eth-updown-5m-1772368800,2026-03-01T12:45:00+00:00,172,0.665,0.335,-0.0,False
